Наш арт;Арт поставщика;Старый артикул (сайт);Поставщик;Наименование изделия;жен/муж;рукав, размер;Описание+особенности;Ссылка на фото поставщика;Наша цена;Цена поставщика;Наценка;Примечание;Ссылка на наш сайт
11.15h;;;Китай;перчатки (Китай);уни;one size;белые, хлопок;;80;22;;поставка 1мес;http://aviktime.ru/catalog/items/655/
11.16h;;;КомплексБар;перчатки PapStar (СПб);уни;М, L, XL;белые, хлопок;;120;30;;поставка 1мес, что-то может быть в наличии в СПб;http://aviktime.ru/catalog/items/401/
11.17h;;;Китай;перчатки (Китай);уни;one size;белые, лавсан;;140;24;;поставка 1мес;http://aviktime.ru/catalog/items/656/
11.18-1h;;;Китай;перчатки (Китай);уни;one size;белые, на кнопке, х/б;;220;40;;поставка 1мес;http://aviktime.ru/catalog/items/657/
11.18-2h;;;Китай;перчатки (Китай);уни;one size;белые, на кнопке, лавсан;;250;70;;поставка 1мес;http://aviktime.ru/catalog/items/657/
11.19;;;????;перчатки (CE);уни;one size;белые, хлопок;;70;??;;остатки;
5190;5190;11.19a;Проект 111;Футболка;уни;кор. рукав;140гр, классика;;132;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/567/
1376;1376;11.20a;Проект 111;Футболка;муж;кор. рукав;150гр, классика;;179;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/149/
2662;2662;11.21a;Проект 111;Футболка;жен;кор. рукав;150гр, классика;;188;;;объединить;http://www.aviktime.ru/catalog/items/573/
1374;1374;11.22a;Проект 111;Футболка;муж;кор. рукав;190гр, классика;;247;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/150/
6083;6083;11.23a;Проект 111;Футболка;жен;кор. рукав;190гр, классика;;272;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/572/
1372;1372;11.24a;Проект 111;Футболка;жен;кор. рукав;220гр, по фигуре;;228;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/151/
1834;1834;11.25a;Проект 111;Футболка;муж;кор. рукав;170гр, с отделкой;;376;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/579/
2400;2400;11.26a;Проект 111;Футболка;жен;кор. рукав;170гр, с отделкой;;323;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/580/
1887;1887;11.27a;Проект 111;Футболка;муж;кор. рукав;150гр, V-вырез;;297;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/575/
1874;1874;11.28a;Проект 111;Футболка;жен;кор. рукав;220гр, V-вырез;;279;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/152/
4380;4380;11.29a;Проект 111;Футболка;муж;кор. рукав;190гр, с лайкрой;;696;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/576/
4802;4802;11.30a;Проект 111;Футболка;муж;кор. рукав;160гр, для сублимации;;335;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/574/
4797;4797;11.31a;Проект 111;Футболка;жен;кор. рукав;170гр, ориг. вырез;;487;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/578/
1379;1379;11.32a;Проект 111;Рубашка-поло;муж;кор. рукав;170гр, классика;;429;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/153/
6087;6087;11.33a;Проект 111;Рубашка-поло;жен;кор. рукав;170гр, классика;;431;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/583/
1895;1895;11.34a;Проект 111;Рубашка-поло;жен;кор. рукав;220гр, классика;;508;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/155/
1898;1898;11.35a;Проект 111;Рубашка-поло;муж;кор. рукав;210гр, классика;;585;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/154/
6025;6025;11.37a;Проект 111;Бейсболка Unit First;уни;-;135гр, 5 клиньев;;54;;;поставка 3-5дней;http://www.aviktime.ru/catalog/items/644/
-;-;11.38b;Стан;Бейсболка StanClassic;уни;-;150гр, 5 клиньев;;128;;;поставка 3-5 дней;http://www.aviktime.ru/catalog/items/646/
1847;1847;11.39a;Проект 111;Бейсболка Unit Standart;уни;-;260гр, 5 клиньев;;95;;;поставка 3-5 дней;http://www.aviktime.ru/catalog/items/645/
1851;1851;11.40a;Проект 111;Козырек Unit Sun;уни;-;180гр, с кантом;;99,1;;;поставка 3-5 дней;http://www.aviktime.ru/catalog/items/647/
1839;1839;11.41а;Проект 111;Блуза;жен;кор. рукав;"хлопок 70%, плотность 130 г/кв.м.; полиэстер 30%";;835;;;добавить номера цветов в описание или фото;http://www.aviktime.ru/catalog/items/530/
2511;2511;11.42а;Проект 111;Блуза;жен;кор. рукав;"хлопок 97%, плотность 140 г/кв.м.; эластан 3%";;1100;;;добавить номера цветов в описание или фото;http://www.aviktime.ru/catalog/items/533/
1838;1838;11.43а;Проект 111;Блуза;жен;длинным;"хлопок 70%, плотность 135 г/кв.м.; полиэстер 30%";;1080;;;добавить номера цветов в описание или фото;http://www.aviktime.ru/catalog/items/531/
