Артикул на сайте;Правильный арикул;"цена
20-50шт";"цена 
51-200шт";"цена 
201-500шт";Комментарий;
0.10С;;1320;1 056;924;у нас в прайсе 3 цены - буду думать, что с этим делать - пока загрузить эти;
0.43;0.43;3467;3 120;2 600;странно, он был - на сайте фигурирует 2 раза!!;
1.39;;1735;1 562;1 301;действительно не было цены - добавили;
1.104;1.104;1961;1 765;1 471;была ошибка в артикуле у нас (исправили);
6.45-6.44;6.44;1292;1 163;969;думаю их нужно загрузить 2 раза с разными артикулами (разделить);
;6.45;1355;1 220;1 016;;
2.34-2.33;2.33;;;;думаю их нужно загрузить 2 раза с разными артикулами (разделить), цены считаем;
;2.34;;;;;
6.56;6B.56;;;;действительно нет цены - считаем;
2.07М;2.07M;843;759;632;странно, он был;
2.07М-D;2.07M-D;935;842;701;видимо проблема в букве (язык), т.к. в прайсе он есть;
2.45;2.45;1590;1 431;1 193;странно, он был;
4B.191;4B.191;814;733;611;видимо проблема в букве (язык), т.к. в прайсе он есть;
4B.128;4B.128;1135;1 022;851;видимо проблема в букве (язык), т.к. в прайсе он есть;
4A.157;4B.157;836;752;627;ошибка в букве;
4B.67A;4B.67А;1012;911;759;видимо проблема в букве (язык), т.к. в прайсе он есть;
4B.40С;4B.40C;1100;990;825;видимо проблема в букве (язык), т.к. в прайсе он есть;
4B.119A;4B.119А;946;851;710;видимо проблема в букве (язык), т.к. в прайсе он есть;
2.32;;678;610;509;действительно не было цены;
4B.123A;;876;788;657;ошибка в артикуле (у нас в прайсе);
4С.14В-1;4C.14D-1;990;891;743;ошибка в артикуле;
4B.263М, 4B.263Ж;4B.263Ж;1100;990;825;;
;4B.263М;1188;1 069;891;;
4.220B;4A.220B;567;510;425;видимо проблема в букве (язык), т.к. в прайсе он есть;
2.45;2.45;1590;1 431;1 193;видимо проблема в букве (язык), т.к. в прайсе он есть;
4A.49;4A.49;998;898;749;видимо проблема в букве (язык), т.к. в прайсе он есть;
4A.07С;4A.07C;1103;993;827;видимо проблема в букве (язык), т.к. в прайсе он есть;
4A.490R;4А.490R;1290;1 161;968;видимо проблема в букве (язык), т.к. в прайсе он есть;
4A.490S;4А.490S;1162;1 046;872;видимо проблема в букве (язык), т.к. в прайсе он есть;
4A.490N;4А.490N;1155;1 040;866;видимо проблема в букве (язык), т.к. в прайсе он есть;
4A.490M;4А.490M;990;891;743;видимо проблема в букве (язык), т.к. в прайсе он есть;
4A.490K;4А.490K;898;808;674;видимо проблема в букве (язык), т.к. в прайсе он есть;
4A.490H-2;4А.490H-2;1162;1 046;872;видимо проблема в букве (язык), т.к. в прайсе он есть;
4A.490H;4А.490H;873;786;655;видимо проблема в букве (язык), т.к. в прайсе он есть;
4A.490-E-2;4A.490E-2;1162;1 046;872;ошибка в артикуле;
4B.191;4B.191;814;733;611;видимо проблема в букве (язык), т.к. в прайсе он есть;
4B.123A;4B.123A;876;788;657;;
4A.227A;4А.227А;942;848;707;;
4C.14С;4C.14C;970;873;728;;
4A.203;;;;;это позиция ТОЛЬКО наличия, зачем на нее цена?;
4.108A;4A.108A;788;709;591;действительно не было цены;
4A.258;;;;;это позиция ТОЛЬКО наличия, зачем на нее цена?;
4A.230;;;;;это позиция ТОЛЬКО наличия, зачем на нее цена?;
4B.128;4B.128;1135;1 022;851;;
4A.05C;4A.05С;867;780;650;;
4A.49;4A.49;998;898;749;;
4A.07G;4А.07G;935;842;701;;
4A.55;;;;;это позиция ТОЛЬКО наличия, зачем на нее цена?;
4С.321;;1398;1 258;1 049;была ошибка у нас в прайсе - исправили;
4С.51F;;1063;957;797;была ошибка у нас в прайсе - исправили;
5.70C;5.70С;583;525;437;;
5.04C-1;5.04С-1;484;436;363;;
6A.102;;;;;это позиция ТОЛЬКО наличия, зачем на нее цена?;
6А.22М;6A.22М;1650;1 485;1 238;видимо проблема в букве (язык), т.к. в прайсе он есть;
6А.23A-2;6A.23A-2;1440;1 296;1 080;видимо проблема в букве (язык), т.к. в прайсе он есть;
6А.23A;6A.23A;1254;1 129;941;видимо проблема в букве (язык), т.к. в прайсе он есть;
6A.107;6А.107;1240;1 116;930;видимо проблема в букве (язык), т.к. в прайсе он есть;
6А.68;6A.68;1280;1 152;960;видимо проблема в букве (язык), т.к. в прайсе он есть;
6А.24B;6A.24B;1360;1 224;1 020;видимо проблема в букве (язык), т.к. в прайсе он есть;
6А.24С;6A.24C;1450;1 305;1 088;видимо проблема в букве (язык), т.к. в прайсе он есть;
6А.24A;6A.24А;1260;1 134;945;видимо проблема в букве (язык), т.к. в прайсе он есть;
6A.01E-2;6A.01Е-2;1320;1 188;990;видимо проблема в букве (язык), т.к. в прайсе он есть;
6A.01E;6A.01Е;1320;1 188;990;видимо проблема в букве (язык), т.к. в прайсе он есть;
6А.01В;6A.01B;894;805;671;видимо проблема в букве (язык), т.к. в прайсе он есть;
6B.98A;6B.98А;1299;1 169;974;видимо проблема в букве (язык), т.к. в прайсе он есть;
6B.14B-Ж-2;6B.14B-Ж2;1575;1 418;1 181;ошибка в артикуле;
6B.18B-6B.18С;6B.18B;1512;1 361;1 134;разделить;
;6B.18C;1512;1 361;1 134;;
6B.25B-6B.25C;6B.25B;1428;1 285;1 071;разделить;
;6B.25C;1428;1 285;1 071;;
6B.12B-6B.12С;6B.12B;1460;1 314;1 095;разделить;
;6B.12С;1460;1 314;1 095;;
6B.12A;6B.12А;1523;1 371;1 142;видимо проблема в букве (язык), т.к. в прайсе он есть;
6B.26B -6B.26C;6B.26B;1470;1 323;1 103;разделить;
;6B.26С;1470;1 323;1 103;;
6B.26A;6B.26А;1716;1 544;1 287;видимо проблема в букве (язык), т.к. в прайсе он есть;
6A.03М;6A.03M;1156;1 040;867;;
6A.03;6A.03M;1156;1 040;867;ошибка в артикуле;
6A.89A;6А.89А;1486;1 337;1 115;;
6.69;6А.69Ж;2990;2 691;2 243;разделить;
