0.03;жакет;женс.;дл. рукав;без воротника;;2045;1 841;1 636
0.04;жакет;женс.;дл. рукав;классический;;2717;2 445;2 174
0.04A;жакет;женс.;дл. рукав;округл. воротник;;2958;2 662;2 366
0.04А-1;жакет;женс.;дл. рукав;шлица на рукаве;;3223;2 901;2 578
0.04B;жакет;женс.;дл. рукав;декорат. отделка;;3449;3 104;2 759
0.05;жакет;женс.;;с отделкой (торжок);;3997;3 597;3 198
0.06;спенсер;женс.;дл. рукав;с атлас отделк;;2386;2 147;1 909
0.12B;фрак;мужс.;дл. рукав;;;8614;7 753;6 891
0.14;смокинг;мужс.;дл. рукав;округл. воротник;;7407;6 666;5 926
0.16;пиджак;мужс.;дл. рукав;классический, 3 пуг, с отделкой;;7654;6 889;6 123
0.17;пиджак;мужс.;дл. рукав;классический, 2 пуг;;5290;4 761;4 232
0.19;пиджак;мужс.;дл. рукав;двубортный;;6985;6 287;5 588
0.20;жакет;женс.;дл. рукав;с воротником;;2895;2 606;2 316
0.20А;жакет;женс.;дл. рукав;с закругленными нижними углами борта;;2998;2 698;2 398
0.20B;жакет;женс.;дл. рукав;клссич, на 1 пугов;;2652;2 387;2 122
0.22;жакет;женс.;дл. рукав;классический, 3 пуг;;2869;2 582;2 295
0.22б;жакет;женс.;дл.рукав;с дв отстрочкой;;3267;2 940;2 614
0.22в;жакет;женс.;дл.рукав;с имитацией руч.стежка;;3860;3 474;3 088
0.22A;жакет;женс.;дл. рукав;классический, удлин;;2965;2 669;2 372
0.26;жакет;женс.;кор. рукав;округл. воротник, без подкладки;;1635;1 472;1 308
0.74;жакет;женс.;дл.рукав;класс.без воротника;;1978;1 780;1 582
;пальто женское;женс.;;горчица;;7350;6 615;6 240
0.26А;жакет;женс.;дл. рукав;округл. воротник, без подкладки;;1797;1 617;1 438
0.29;пальто швейцара;мужс.;дл. рукав;неутепленное;;13260;11 934;10 608
0.29;пальто швейцара;мужс.;дл. рукав;утепленное;;15100;13 590;12 080
0.30;пальто швейцара;мужс.;дл. рукав;двубортное, с отделк., неутепленное;;13580;12 222;10 864
0.30;пальто швейцара;мужс.;дл. рукав;двубортное, с отделк., утепленное;;15860;14 274;12 688
0.34;жакет;женс.;дл. рукав;стилизованный, без подкладки;;2517;2 265;2 014
0.40;жакет;женс.;дл. рукав;двубортный;;3940;3 546;3 152
0.41;жакет;женс.;дл.рукав;застежка на крючок,нагрудные вытачки из горловины;;2627;2 364;2 102
0.42;пиджак;мужс.;дл. рукав;двубортный;;7820;7 038;6 256
0.43;жакет;женс.;дл. рукав;с воротником;;3467;3 120;2 774
0.45;мантия;мужс.;дл. рукав;с вышивкой с;;4488;4 039;3 590
0.46;мантия;женс.;дл. рукав;с вышивкой;;4488;4 039;3 590
;комплект воротничков;;доп.компл;сорочка;;408;367;326
0.47;пиджак;мужс.;дл. рукав;классический;;5768;5 191;4 614
0.48;пиджак;мужс.;дл.рукав;двубортный;;7820;7 038;6 256
0.59;жакет;женс.;дл. рукав;жакет с аксельбантами;вопрос;4891;4 402;3 913
0.68;жакет;женс.;;(арома);вопрос;2445;2 201;1 956
;френч;мужс.;дл. рукав;ворот. стойка;вопрос;2995;2 696;2 396
2.03;брюки;женс.;-;прямые;;1023;921;818
2.03B;брюки;женс.;-;зауженные;;1312;1 181;1 050
2.05;брюки;мужс.;-;готовые (наличие по цветам уточнять);;975;878;780
2.05;брюки;мужс.;-;классические;;1490;1 341;1 192
2.05;брюки;мужс.;-;классич люкс;;2192;1 973;1 754
2.06;брюки;мужс.;-;с лампасами, без карманов;;1668;1 501;1 334
2.06A;брюки;мужс.;-;с лампасами, с карманами;;1712;1 541;1 370
2.21;брюки;женс.;-;прямые,со стрелками;;1206;1 085;965
2.29;капри;женс.;-;с отворотами внизу;;986;887;789
2.37A;бриджи;женс.;-;карманы ложные с отворотами,заужены к низу;;1091;982;873
2.42;платье - шорты;женс.;-;с пряжкой, из кост. ткани;;1510;1 359;1 208
2.45;брюки;мужс.;-;классические;;1590;1 431;1 272
2.49;брюки;женс.;-;прямые, срелки;;1490;1 341;1 192
2.50;брюки;мужс.;-;джинсы;вопрос;2332;2 099;1 866
2.75;Брюки;женс.;-;люкс, зауж., стрейч, заниж. талия;вопрос;1408;1 267;1 126
2.75A;Брюки;женс.;-;зауженные, стрейч, заниж. талия;вопрос;1454;1 309;1 163
2.86;Брюки;мужс.;-;рабочие, с накладными карманами сбоку;утепл;1692;1 523;1 354
3.01;юбка;женс.;по колено;прямая, дл=57см;;897;762;718
3.01A;юбка;женс.;по колено;зауж. к низу;;897;807;718
3.01А-2;юбка;женс.;удлинен;прямая, дл=85см;;990;891;792
3.02;юбка;женс.;по колено;со шлицей спереди;;986;887;789
3.03;юбка;женс.;по колено;с бок. резинками;;897;807;718
3.03A;юбка;женс.;по колено;см. юбки рабочие;;716;644;572
3.04;юбка;женс.;укороч;на запах, трапеция;;1008;907;806
3.10;юбка;женс.;по колено;прямая, без пояса;;899;809;719
3.11A;юбка;женс.;укороч;на запах, с кантом;;1250;1 125;999
3.11A;юбка;женс.;укороч;с подъюбником;;2095;1 886;1 676
3.13;юбка;женс.;укороч;на запах, в складку;;1835;1 652;1 468
